,last_scraped,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,2024-09-28,Lars Kristian,2014-07-19,"Oslo, Norway",within a day,100%,100%,f,t,t,Entire home,Entire home/apt,2.5 baths,$0.00,t,2024-09-28,2024-08-03,2024-08-03,no reviews,f,1134705943340042285,18365661,1.0,2.0,6.0,1.0,3.0,0.0,2.1,14.0,2.3,7.0,14.0,14.0,2.4,14.0,0,0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,0.53
1,2024-09-28,Cecilie,2010-08-01,"Oslo, Norway",within an hour,100%,100%,f,t,t,Entire condo,Entire home/apt,1 bath,"$3,400.00",t,2024-09-28,2013-09-02,2024-08-25,no reviews,f,42932,187463,2.0,2.0,3.0,1.0,2.0,3.0,4.0,185.9,4.0,4.0,187.4,188.8,4.0,189.2,26,69,7.2,3.0,0.0,4.91,4.96,4.98,4.92,4.96,1.0,0.0,0.0,0.4
2,2024-09-28,Reidun,2011-01-30,"Oslo, Norway",within a day,100%,71%,f,t,t,Private room in rental unit,Private room,1 bath,$586.00,t,2024-09-28,2011-02-15,2024-05-15,no reviews,f,71725,368229,1.0,1.0,2.0,1.0,1.0,2.0,2.1,730.0,2.3,2.7,730.0,730.0,2.4,730.0,2,59,7.2,2.0,0.0,4.75,4.69,4.78,4.98,4.71,1.0,0.0,0.0,0.34
3,2024-09-28,Melissa,2010-10-01,"Oslo, Norway",within an hour,100%,96%,t,t,t,Entire condo,Entire home/apt,1 bath,$0.00,t,2024-09-28,2011-05-28,2024-08-03,no reviews,f,85902,250159,3.0,3.0,4.0,1.0,2.0,0.0,3.0,21.0,3.0,4.0,187.4,188.8,3.0,189.2,0,0,7.2,4.0,0.0,4.77,4.78,4.58,4.74,4.49,1.0,0.0,0.0,0.5
4,2024-09-28,Melissa,2010-10-01,"Oslo, Norway",within an hour,100%,96%,t,t,t,Private room in condo,Private room,1 shared bath,$0.00,t,2024-09-28,2011-06-16,2024-08-11,no reviews,f,123041,250159,3.0,3.0,2.0,1.0,0.0,0.0,1.0,40.0,1.0,1.0,40.0,40.0,1.0,40.0,0,0,7.2,1.0,0.0,4.82,4.85,4.72,4.85,4.6,1.0,0.0,0.0,1.46
5,2024-09-28,Henrik,2011-06-18,"Oslo, Norway",within an hour,100%,100%,f,t,t,Private room in rental unit,Private room,1 shared bath,"$1,055.00",t,2024-09-28,2011-07-16,2024-07-02,no reviews,f,149776,714768,2.0,2.0,2.0,1.0,1.0,1.0,2.1,365.0,5.0,5.0,365.0,365.0,5.0,365.0,30,90,7.2,1.0,0.0,4.91,4.84,5.0,4.98,4.88,1.0,0.0,0.0,0.27
6,2024-09-28,Jon,2011-07-07,"Oslo, Norway",within an hour,100%,100%,f,t,f,Private room in condo,Private room,1 shared bath,$520.00,t,2024-09-28,2011-08-22,2024-09-10,no reviews,f,165218,787976,1.0,2.0,2.0,1.0,1.0,1.0,2.0,30.0,2.0,2.0,30.0,30.0,2.0,30.0,13,22,23.0,2.0,2.0,4.91,4.77,4.77,4.82,4.68,1.0,0.0,0.0,0.14
7,2024-09-28,Christina,2010-04-26,"Oslo, Norway",within a day,100%,100%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$9,346.00",t,2024-09-28,2011-07-25,2014-10-26,no reviews,t,174372,114189,2.0,2.0,6.0,1.0,1.4,3.0,2.1,365.0,2.3,2.7,365.0,365.0,2.4,365.0,30,90,35.0,0.0,0.0,4.87,4.88,4.94,4.79,4.79,1.0,0.0,0.0,0.22
8,2024-09-28,Kåre & Truls,2011-10-29,"Oslo, Norway",within a few hours,100%,77%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$871.00,t,2024-09-28,2012-10-09,2024-09-20,no reviews,f,256459,1347737,3.0,1.4,6.0,1.0,2.0,3.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,23,68,7.2,3.3,0.3,4.96,4.96,4.98,4.96,4.88,1.0,0.0,0.0,2.75
9,2024-09-28,Espen,2011-07-08,"Berlin, Germany",within a day,100%,63%,t,t,t,Entire condo,Entire home/apt,1 bath,$962.00,t,2024-09-28,2012-01-10,2024-09-26,no reviews,f,275790,793479,1.0,1.0,2.0,1.0,1.0,1.0,2.1,185.9,2.3,2.7,187.4,188.8,2.4,189.2,0,56,22.0,5.0,1.0,4.86,4.82,4.77,5.0,4.86,1.0,0.0,0.0,0.14
